"Pos","Num","Player Name","Status","Quick Stat 1","Quick Stat 2","Quick Stat 3","Quick Stat 4","Quick Stat 5","Quick Stat 6","Quick Stat 7","Quick Stat 8","Team"
"WR","84","Abbrederis, Jared","ACT","REC","9","YDS","111","AVG","12.3","TDS","0","GB"
"DB","","Abdul-Quddus, Isa","ACT","TCKL","57","SCK","1.0","FF","1","INT","--","MIA"
"RB","21","Abdullah, Ameer","ACT","CAR","143","YDS","597","AVG","4.2","TDS","2","DET"
"FS","39","Abdullah, Husain","UFA","TCKL","29","SCK","0.0","FF","0","INT","--","KC"
"G","78","Aboushi, Oday","ACT","G","7","GS","5","","","","","HOU"
"OLB","49","Acho, Sam","ACT","TCKL","39","SCK","0.0","FF","1","INT","--","CHI"
"CB","20","Acker, Kenneth","ACT","TCKL","65","SCK","0.0","FF","0","INT","3","SF"
"K","","Acosta, Corey","ACT","FGA","--","FGM","--","PCT","--","LNG","--","SF"
"WR","17","Adams, Davante","ACT","REC","50","YDS","483","AVG","9.7","TDS","1","GB"
"OG","70","Adams, Jeff","UFA","G","2","GS","2","","","","","HOU"
"T","76","Adams, Mike","ACT","G","--","GS","--","","","","","PIT"
"SS","29","Adams, Mike","ACT","TCKL","75","SCK","1.0","FF","3","INT","5","IND"
"DB","20","Adams, Phillip","UFA","TCKL","38","SCK","0.0","FF","1","INT","1","ATL"
"LB","","Adams, Tyrell","ACT","TCKL","--","SCK","--","FF","--","INT","--","KC"
"SS","37","Addae, Jahleel","ACT","TCKL","65","SCK","1.0","FF","0","INT","--","SD"
"DE","97","Addison, Mario","ACT","TCKL","23","SCK","6.0","FF","0","INT","--","CAR"
"CB","38","Adjei-Barimah, Jude","ACT","TCKL","41","SCK","0.0","FF","0","INT","--","TB"
"WR","17","Agholor, Nelson","ACT","REC","23","YDS","283","AVG","12.3","TDS","1","PHI"
"LS","57","Aiken, Danny","UFA","G","3","GS","0","","","","","NYG"
"WR","11","Aiken, Kamar","RFA","REC","75","YDS","944","AVG","12.6","TDS","5","BAL"
"FS","35","Aikens, Walt","ACT","TCKL","29","SCK","0.0","FF","0","INT","--","MIA"
"RB","23","Ajayi, Jay","ACT","CAR","49","YDS","187","AVG","3.8","TDS","1","MIA"
"WR","16","Ajirotutu, Seyi","UFA","REC","1","YDS","4","AVG","4.0","TDS","0","PHI"
"LB","","Akunne, Derek","ACT","TCKL","--","SCK","--","FF","--","INT","--","DAL"
"OT","76","Albert, Branden","ACT","G","14","GS","14","","","","","MIA"
"DT","65","Alecxih, Chas","ACT","TCKL","--","SCK","--","FF","--","INT","--","CAR"
"LB","57","Alexander, D.J.","ACT","TCKL","13","SCK","0.0","FF","0","INT","--","KC"
"DE","90","Alexander, Frank","UFA","TCKL","--","SCK","--","FF","--","INT","--","CAR"
"LB","","Alexander, Lorenzo","ACT","TCKL","13","SCK","0.0","FF","0","INT","--","BUF"
"SS","31","Alexander, Maurice","ACT","TCKL","39","SCK","2.0","FF","0","INT","--","LA"
"MLB","58","Alexander, Kwon","ACT","TCKL","93","SCK","3.0","FF","2","INT","2","TB"
"WR","15","Alford, Mario","ACT","REC","1","YDS","15","AVG","15.0","TDS","0","CIN"
"CB","23","Alford, Robert","ACT","TCKL","53","SCK","0.0","FF","0","INT","2","ATL"
"DB","","Allen, Antonio","ACT","TCKL","--","SCK","--","FF","--","INT","--","HOU"
"NT","94","Allen, Beau","ACT","TCKL","28","SCK","0.0","FF","0","INT","--","PHI"
"CB","28","Allen, Cortez","UFA","TCKL","6","SCK","0.0","FF","0","INT","--","PIT"
"TE","83","Allen, Dwayne","UFA","REC","16","YDS","109","AVG","6.8","TDS","1","IND"
"RB","37","Allen, Javorius","ACT","CAR","137","YDS","514","AVG","3.8","TDS","1","BAL"
"T","","Allen, Jeff","ACT","G","12","GS","8","","","","","HOU"
"C","","Allen, Josh","ACT","G","--","GS","--","","","","","TB"
"WR","13","Allen, Keenan","ACT","REC","67","YDS","725","AVG","10.8","TDS","4","SD"
"SS","20","Allen, Nate","ACT","TCKL","11","SCK","0.0","FF","0","INT","1","OAK"
"TE","88","Allen, RaShaun","ACT","REC","--","YDS","--","AVG","--","TDS","--","NO"
"FS","37","Allen, Ricardo","ACT","TCKL","68","SCK","1.0","FF","0","INT","3","ATL"
"P","6","Allen, Ryan","ACT","PUNTS","73","AVG","46.0","LNG","67","IN 20","31","NE"
"WR","3","Allen, Torrence","ACT","REC","--","YDS","--","AVG","--","TDS","--","SD"
"SS","20","Allen, Will","UFA","TCKL","80","SCK","4.0","FF","2","INT","1","PIT"
"LB","","Alonso, Kiko","ACT","TCKL","43","SCK","0.0","FF","0","INT","1","MIA"
"DT","93","Alualu, Tyson","ACT","TCKL","26","SCK","2.0","FF","0","INT","--","JAX"
"TE","88","Amaro, Jace","ACT","REC","--","YDS","--","AVG","--","TDS","--","NYJ"
"WR","80","Amendola, Danny","ACT","REC","65","YDS","648","AVG","10.0","TDS","3","NE"
"CB","29","Amerson, David","ACT","TCKL","60","SCK","0.0","FF","1","INT","4","OAK"
"FS","38","Amos, Adrian","ACT","TCKL","67","SCK","1.0","FF","0","INT","--","CHI"
"DB","","Amukamara, Prince","ACT","TCKL","63","SCK","0.0","FF","1","INT","1","JAX"
"DB","","Anderson, Colt","ACT","TCKL","17","SCK","0.0","FF","0","INT","--","BUF"
"RB","22","Anderson, C.J.","ACT","CAR","152","YDS","720","AVG","4.7","TDS","5","DEN"
"QB","3","Anderson, Derek","ACT","TDS","0","INT","0","YDS","36","RTG","82.6","CAR"
"WR","6","Anderson, Dres","ACT","REC","--","YDS","--","AVG","--","TDS","--","SF"
"DE","96","Anderson, Henry","ACT","TCKL","31","SCK","1.0","FF","0","INT","--","IND"
"OLB","42","Anderson, James","UFA","TCKL","16","SCK","0.0","FF","0","INT","--","NO"
"OLB","58","Anderson, Jonathan","ACT","TCKL","36","SCK","0.0","FF","0","INT","1","CHI"
"WR","","Anderson, Joe","ACT","REC","--","YDS","--","AVG","--","TDS","--","NYJ"
"TE","48","Anderson, Rory","ACT","REC","--","YDS","--","AVG","--","TDS","--","SF"
"LB","47","Anderson, Zaire","ACT","TCKL","--","SCK","--","FF","--","INT","--","DEN"
"RB","26","Andrews, Antonio","ACT","CAR","143","YDS","520","AVG","3.6","TDS","3","TEN"
"C","60","Andrews, David","ACT","G","14","GS","11","","","","","NE"
"G","68","Andrews, Josh","ACT","G","13","GS","0","","","","","PHI"
"P","","Anger, Bryan","ACT","PUNTS","80","AVG","46.3","LNG","63","IN 20","26","TB"
"TE","","Annen, Blake","ACT","REC","--","YDS","--","AVG","--","TDS","--","BUF"
"DE","94","Ansah, Ezekiel","ACT","TCKL","47","SCK","14.5","FF","4","INT","--","DET"
"MLB","50","Anthony, Stephone","ACT","TCKL","112","SCK","1.0","FF","2","INT","1","NO"
"DE","91","Anunike, Kenny","ACT","TCKL","1","SCK","0.0","FF","0","INT","--","DEN"
"RB","","Archer, Dri","ACT","CAR","--","YDS","--","AVG","--","TDS","--","NYJ"
"DB","","Arenas, Javier","ACT","TCKL","--","SCK","--","FF","--","INT","--","BUF"
"OG","","Arkin, David","ACT","G","--","GS","--","","","","","LA"
"OLB","57","Armbrister, Thurston","ACT","TCKL","23","SCK","0.0","FF","0","INT","--","JAX"
"DE","91","Armstead, Arik","ACT","TCKL","19","SCK","2.0","FF","0","INT","--","SF"
